PMID or Knowledge Base ID,Evidence Source,Element A,Relation,Element B,Supporting Evidence
36322996,PubMed,MMP-8,associated with,IL-1β,“significant reduction in interleukin-1β (IL-1β)”
12558807,PubMed,EGF,induced by,IL-1β,“IL-1 beta stimulated KGF and SF expression”
12558807,PubMed,PDGF,induced by,IL-1β,“IL-1 beta stimulated KGF and SF expression”
23174014,PubMed,IL-1β,increases,MMP-8,“Patients with severe periodontitis presented with elevated salivary concentrations of IL-1β (p < 0.001) and MMP-8 (p < 0.001).”
33658891,PubMed,IL-1β,correlates with,MMP-8,“No significant correlations were observed between the occurrence of individual periopathogens and concentrations of MMP-8 and IL-1β depending on the diagnosis.”
39730430,PubMed,MMP-8,correlates with,IL-1β,"“salivary biomarkers showed significant elevations in MMP-8, MMP-9, resistin, IL-1β, IL-6”"
30015235,PubMed,IL-1β,induces,RANKL,“more RANKL in terms of both protein and mRNA levels than other subpopulations”
41913520,PubMed,IL-1β,correlates with,MMP-8,“Inflammatory markers were significantly reduced at 3 months (p < 0.05)”
33658891,PubMed,MMP-8,and,IL-1β,“concentration of IL-1 and MMP-8 in gingival crevicular fluid (GCF) from deep periodontal pockets”
7700221,PubMed,EGF,is associated with,PDGF,“EGF... are important mediators of cellular events in wound healing”
CL_0000236,ImmuneXpresso,B-cell,cell-cytokine interaction (Positive),IL-1α,"record [CL_0000236, IL-1α]: 20 paper(s), enrichment score 1.98"
CL_0000236,ImmuneXpresso,IL-1β,cell-cytokine interaction (Positive),B-cell,"record [CL_0000236, IL-1β]: 3 paper(s), enrichment score 0.19"
CL_0000820,ImmuneXpresso,B-cell,cell-cytokine interaction (Positive),IL-1β,"record [CL_0000820, IL-1β]: 1 paper(s), enrichment score 23.21"
CL_0000817,ImmuneXpresso,IL-1β,cell-cytokine interaction (Positive),B-cell,"record [CL_0000817, IL-1β]: 1 paper(s), enrichment score 2.36"
CL_0000817,ImmuneXpresso,IL-1α,cell-cytokine interaction (Negative),B-cell,"record [CL_0000817, IL-1α]: 1 paper(s), enrichment score 86.44"
CL_0000057,ImmuneXpresso,EGF,cell-cytokine interaction (Positive),fibroblast,"record [CL_0000057, EGF]: 10 paper(s), enrichment score 11.61"
CL_0000066,ImmuneXpresso,EGF,cell-cytokine interaction (Positive),epithelial cell,"record [CL_0000066, EGF]: 7 paper(s), enrichment score 20.33"
CL_0000312,ImmuneXpresso,EGF,cell-cytokine interaction (Unknown),keratinocyte,"record [CL_0000312, EGF]: 4 paper(s), enrichment score 37.28"
CL_0000057,ImmuneXpresso,PDGF,cell-cytokine interaction (Positive),fibroblast,"record [CL_0000057, PDGF]: 17 paper(s), enrichment score 15.09"
CL_0000233,ImmuneXpresso,PDGF,cell-cytokine interaction (Positive),platelet,"record [CL_0000233, PDGF]: 9 paper(s), enrichment score 11.31"
CL_0000192,ImmuneXpresso,PDGF,cell-cytokine interaction (Positive),smooth muscle cell,"record [CL_0000192, PDGF]: 7 paper(s), enrichment score 67.42"
CL_0000312,ImmuneXpresso,keratinocyte,cell-cytokine interaction (Positive),IL-1α,"record [CL_0000312, IL-1α]: 19 paper(s), enrichment score 26.56"
CL_0000235,ImmuneXpresso,macrophage,cell-cytokine interaction (Positive),IL-1α,"record [CL_0000235, IL-1α]: 18 paper(s), enrichment score 4"
CL_0000576,ImmuneXpresso,monocyte,cell-cytokine interaction (Positive),IL-1α,"record [CL_0000576, IL-1α]: 13 paper(s), enrichment score 4.85"
CL_0000235,ImmuneXpresso,macrophage,cell-cytokine interaction (Positive),IL-1β,"record [CL_0000235, IL-1β]: 122 paper(s), enrichment score 5.62"
CL_0000576,ImmuneXpresso,monocyte,cell-cytokine interaction (Positive),IL-1β,"record [CL_0000576, IL-1β]: 87 paper(s), enrichment score 6.2"
CL_0000138,ImmuneXpresso,IL-1β,cell-cytokine interaction (Positive),chondrocyte,"record [CL_0000138, IL-1β]: 38 paper(s), enrichment score 11.47"
CL_0000218,ImmuneXpresso,GDF-15,cell-cytokine interaction (Unknown),myelinating Schwann cell,"record [CL_0000218, GDF-15]: 7 paper(s), enrichment score 1098.7"
CL_0000540,ImmuneXpresso,GDF-15,cell-cytokine interaction (Unknown),neuron,"record [CL_0000540, GDF-15]: 6 paper(s), enrichment score 51.5"
CL_0000746,ImmuneXpresso,GDF-15,cell-cytokine interaction (Positive),cardiac muscle cell,"record [CL_0000746, GDF-15]: 5 paper(s), enrichment score 47.9"
CL_0000236,ImmuneXpresso,B-cell,cell-cytokine interaction (Positive),IL4,"record [CL_0000236, IL4]: 105 paper(s), enrichment score 6.65"
CL_0000236,ImmuneXpresso,B-cell,cell-cytokine interaction (Positive),IL10,"record [CL_0000236, IL10]: 95 paper(s), enrichment score 5.49"
A0A246K8E8,UniProt,Brevundimonas diminuta,UniProt-annotated virulence factor (KW-0843),Type III secretion system export apparatus subunit SctS,Virulence
M2PKQ7,UniProt,Eggerthia catenaformis,UniProt-annotated virulence factor (KW-0843),Heme response regulator HssR,Regulation of virulence expression
Q03C96,UniProt,Lactobacillus paracasei,UniProt-annotated virulence factor (KW-0843),HTH-type transcriptional regulator MgrA (HTH-type transcriptional regulator SarZ) (Staphylococcal accessory regulator Z),DNA binding
A0A7S7FMU5,UniProt,Lactobacillus rhamnosus,UniProt-annotated virulence factor (KW-0843),Heme response regulator HssR,Regulation of virulence expression
A0A134AA91,UniProt,Leptotrichia wadei,UniProt-annotated virulence factor (KW-0843),Endoribonuclease VapD (EC 3.1.-.-),RNA cleavage
U2YAS6,UniProt,Streptococcus constellatus,UniProt-annotated virulence factor (KW-0843),Aldehyde-alcohol dehydrogenase,Virulence
Q2PHL4,UniProt,Streptococcus mitis,UniProt-annotated virulence factor (KW-0843),Thiol-activated cytolysin,Cytolysis by pore formation
A0SZW8,UniProt,Streptococcus mitis,UniProt-annotated virulence factor (KW-0843),Thiol-activated cytolysin,Cytolysis by pore formation
A0SZW9,UniProt,Streptococcus mitis,UniProt-annotated virulence factor (KW-0843),Thiol-activated cytolysin,Cytolysis by pore formation
A0SZX0,UniProt,Streptococcus mitis,UniProt-annotated virulence factor (KW-0843),Thiol-activated cytolysin,Cytolysis by pore formation
A0SZX4,UniProt,Streptococcus mitis,UniProt-annotated virulence factor (KW-0843),Thiol-activated cytolysin,Cytolysis by pore formation
A0SZX1,UniProt,Streptococcus mitis,UniProt-annotated virulence factor (KW-0843),Thiol-activated cytolysin,Cytolysis by pore formation
A0SZX3,UniProt,Streptococcus mitis,UniProt-annotated virulence factor (KW-0843),Thiol-activated cytolysin,Cytolysis by pore formation
A0SZX2,UniProt,Streptococcus mitis,UniProt-annotated virulence factor (KW-0843),Thiol-activated cytolysin,Cytolysis by pore formation
A3CK27,UniProt,Streptococcus sanguinis,UniProt-annotated virulence factor (KW-0843),Aldehyde-alcohol dehydrogenase,Virulence
A3CR38,UniProt,Streptococcus sanguinis,UniProt-annotated virulence factor (KW-0843),Type VII secretion system accessory factor EsaA,Virulence
